Tested for kernel size 9, stride 1
Time measurements (s): Matrix Size, CPU, GPU, Shared GPU, Shared GPU + 2x Unroll, Blocked GPU
20, 0.000008, 0.000049, 0.000030, 0.000033, 0.000019
52, 0.000109, 0.000039, 0.000038, 0.000038, 0.000038
84, 0.000325, 0.000062, 0.000057, 0.000055, 0.000055
116, 0.000659, 0.000092, 0.000075, 0.000075, 0.000075
148, 0.001103, 0.000130, 0.000104, 0.000112, 0.000103
180, 0.001669, 0.000185, 0.000143, 0.000152, 0.000142
212, 0.002354, 0.000252, 0.000190, 0.000201, 0.000191
244, 0.003147, 0.000336, 0.000256, 0.000262, 0.000253
276, 0.004061, 0.000430, 0.000326, 0.000335, 0.000316
308, 0.005113, 0.000527, 0.000400, 0.000409, 0.000394
340, 0.006270, 0.000646, 0.000483, 0.000498, 0.000475
372, 0.007502, 0.000744, 0.000552, 0.000570, 0.000549
404, 0.008918, 0.000826, 0.000592, 0.000621, 0.000587
436, 0.010400, 0.000910, 0.000654, 0.000673, 0.000636
468, 0.012065, 0.001052, 0.000761, 0.000784, 0.000743
500, 0.013749, 0.001190, 0.000852, 0.000883, 0.000828
532, 0.015528, 0.001310, 0.000931, 0.000957, 0.000904
564, 0.017386, 0.001441, 0.001027, 0.001051, 0.000990
596, 0.019476, 0.001605, 0.001144, 0.001174, 0.001095
628, 0.021839, 0.001527, 0.001175, 0.001203, 0.001141
660, 0.023992, 0.001888, 0.001331, 0.001356, 0.001260
692, 0.026623, 0.001838, 0.001327, 0.001302, 0.001343
724, 0.029054, 0.002035, 0.001439, 0.001403, 0.001458
756, 0.031622, 0.002047, 0.001622, 0.001582, 0.001637
788, 0.034201, 0.002460, 0.001766, 0.001712, 0.001768
820, 0.037214, 0.002480, 0.001904, 0.001844, 0.001905
852, 0.039999, 0.002640, 0.001985, 0.001913, 0.001973
884, 0.043389, 0.003358, 0.002327, 0.002172, 0.002246
916, 0.046530, 0.003171, 0.002382, 0.002270, 0.002364
948, 0.049765, 0.002782, 0.002048, 0.002033, 0.002126

