Tested for kernel size 15, stride 1
Time measurements (s): Matrix Size, CPU, GPU, Shared GPU, Shared GPU + 2x Unroll, Blocked GPU
20, 0.000008, 0.000059, 0.000034, 0.000047, 0.000018
52, 0.000303, 0.000048, 0.000036, 0.000055, 0.000037
84, 0.001047, 0.000072, 0.000056, 0.000073, 0.000055
116, 0.002182, 0.000096, 0.000080, 0.000090, 0.000072
148, 0.003761, 0.000135, 0.000110, 0.000119, 0.000106
180, 0.005820, 0.000194, 0.000149, 0.000179, 0.000149
212, 0.008236, 0.000265, 0.000198, 0.000228, 0.000198
244, 0.011147, 0.000344, 0.000255, 0.000280, 0.000257
276, 0.014392, 0.000431, 0.000330, 0.000375, 0.000329
308, 0.018133, 0.000524, 0.000407, 0.000444, 0.000397
340, 0.022322, 0.000644, 0.000490, 0.000553, 0.000468
372, 0.026998, 0.000748, 0.000557, 0.000620, 0.000547
404, 0.032035, 0.000834, 0.000562, 0.000556, 0.000605
436, 0.037342, 0.000917, 0.000606, 0.000597, 0.000647
468, 0.043299, 0.001057, 0.000700, 0.000692, 0.000748
500, 0.049607, 0.001204, 0.000798, 0.000785, 0.000850
532, 0.056509, 0.001328, 0.000872, 0.000849, 0.000918
564, 0.063646, 0.001438, 0.000916, 0.000897, 0.000969
596, 0.070976, 0.001269, 0.000968, 0.000966, 0.001047
628, 0.079647, 0.001743, 0.001090, 0.001069, 0.001163
660, 0.087538, 0.001932, 0.001240, 0.001215, 0.001302
692, 0.096526, 0.001881, 0.001291, 0.001255, 0.001371
724, 0.105728, 0.002077, 0.001406, 0.001379, 0.001500
756, 0.115216, 0.001967, 0.001518, 0.001483, 0.001607
788, 0.125461, 0.002488, 0.001681, 0.001640, 0.001779
820, 0.136224, 0.002543, 0.001848, 0.001787, 0.001936
852, 0.147185, 0.002614, 0.001930, 0.001876, 0.002031
884, 0.158745, 0.003003, 0.002109, 0.002060, 0.002228
916, 0.170855, 0.003572, 0.002277, 0.002220, 0.002400
948, 0.182990, 0.003536, 0.002458, 0.002395, 0.002598

