Tested for kernel size 3, stride 1
Time measurements (s): Matrix Size, CPU, GPU, Shared GPU, Shared GPU + 2x Unroll, Blocked GPU
20, 0.000001, 0.000044, 0.000022, 0.000025, 0.000024
52, 0.000007, 0.000032, 0.000031, 0.000036, 0.000031
84, 0.000023, 0.000060, 0.000048, 0.000053, 0.000051
116, 0.000043, 0.000088, 0.000069, 0.000076, 0.000071
148, 0.000071, 0.000128, 0.000099, 0.000106, 0.000100
180, 0.000102, 0.000189, 0.000141, 0.000149, 0.000142
212, 0.000144, 0.000255, 0.000199, 0.000202, 0.000194
244, 0.000189, 0.000326, 0.000252, 0.000254, 0.000245
276, 0.000244, 0.000408, 0.000317, 0.000316, 0.000316
308, 0.000305, 0.000529, 0.000392, 0.000391, 0.000390
340, 0.000377, 0.000621, 0.000464, 0.000461, 0.000462
372, 0.000456, 0.000730, 0.000535, 0.000534, 0.000531
404, 0.000535, 0.000788, 0.000565, 0.000560, 0.000559
436, 0.000610, 0.000893, 0.000625, 0.000617, 0.000616
468, 0.000703, 0.001007, 0.000721, 0.000709, 0.000706
500, 0.000807, 0.001133, 0.000801, 0.000789, 0.000785
532, 0.000909, 0.001012, 0.000819, 0.000821, 0.000816
564, 0.001025, 0.001392, 0.000957, 0.000943, 0.000926
596, 0.001139, 0.001496, 0.001027, 0.001006, 0.000989
628, 0.001115, 0.001693, 0.001176, 0.001168, 0.001180
660, 0.001242, 0.001551, 0.001179, 0.001170, 0.001164
692, 0.001378, 0.002024, 0.001396, 0.001357, 0.001346
724, 0.001525, 0.001968, 0.001474, 0.001449, 0.001431
756, 0.001671, 0.001921, 0.001541, 0.001520, 0.001509
788, 0.001693, 0.002302, 0.001699, 0.001663, 0.001650
820, 0.001738, 0.002416, 0.001926, 0.001868, 0.001848
852, 0.002021, 0.002570, 0.002065, 0.001995, 0.001979
884, 0.002207, 0.002808, 0.002200, 0.002152, 0.002126
916, 0.002391, 0.002969, 0.002263, 0.002218, 0.002194
948, 0.002303, 0.003414, 0.002598, 0.002539, 0.002544

